disease_1,disease_2,edge_weight
C0002876,C2930930,0.009375002
C0002876,C1864839,0.007407409
C0002876,C1857775,0.005263159
C0002876,C0152264,0.016326534
C0002876,C2677132,0.0071428590000000005
C0002876,C1833104,0.009523812
C0002876,C0221018,0.007407409
C0002876,C0027051,0.0064516140000000005
C0002876,C1843687,0.021428577999999997
C0002876,C1720779,0.0060606077
C1838100,C2674218,0.01538462
C1838100,C0011880,0.020000005
C1838100,C1852092,0.009090912
C1838100,C0034091,0.07500002
C1838100,C0342277,0.0036697254999999997
C1838100,C0431693,0.057142872000000004
C1838100,C2678338,0.044444457
C1838100,C1838100,0.018181823
C1838100,C0740302,0.04000001
C1838100,C1969343,0.009523812
C1838100,C2675512,0.025000006
C1838100,C1838457,0.07500002
C1838100,C1853297,0.010526318
C1838100,C0004096,0.057142872000000004
C1838100,C1266144,0.013333336999999999
C1838100,C1864623,0.009090912
C1838100,C0006277,0.0044444455
C1838100,C0340968,0.008695655
C1838100,C0221018,0.016666671
C2675212,C2674218,0.01538462
C2675212,C0011880,0.008000001
C2675212,C1852092,0.018181823
C2675212,C0034091,0.0017857148000000002
C2675212,C0007785,0.020000005
C2675212,C0431693,0.016666671
C2675212,C0020481,0.04290975599999999
C2675212,C0002876,0.014285718000000001
C2675212,C0020474,0.011111113999999998
C2675212,C0740302,0.016666671
C2675212,C1833382,0.018181823
C2675212,C1863512,0.018181823
C2675212,C1838457,0.0050000013
C2675212,C1853371,0.018181823
C2675212,C1853297,0.020000005
C2675212,C0004096,0.04000001
C2675212,C0272052,0.0060606077
C2675212,C1266144,1.8486344e-06
C2675212,C1837915,0.008000001
C2675212,C1864623,0.019047624
C2675212,C0032463,0.004166668
C2675212,C2930930,0.036381494
C2675212,C1864839,0.0060606077
C2675212,C2677132,0.00769231
C2675212,C1833104,0.013333336999999999
C0020474,C0011880,0.009090912
C0020474,C0011880,0.025000006
C0020474,C1852092,0.0018348626999999998
C0020474,C0034091,0.020000005
C0020474,C1852093,0.028571436000000002
C0020474,C0007785,0.022222227999999997
C0020474,C0020481,0.018181823
C0020474,C2675212,0.013333336999999999
C0020474,C0020474,0.009523812
C0020474,C1969343,0.025000006
C0020474,C2675512,0.025000006
C0020474,C1838457,0.021052636
C0020474,C1853371,0.028571436000000002
C0020474,C0004096,0.0066666686999999995
C0020474,C1266144,0.033333343
C0020474,C2675866,0.009090912
C0020474,C1864623,0.0044444455
C0020474,C0152264,0.008695655
C0020474,C0340968,0.016666671
C0740302,C0011880,0.0036036046
C0740302,C2675212,0.01739131
C1969343,C2674218,0.010000003
C1969343,C0011880,0.0033057858
C1969343,C0034091,0.010526318
C1969343,C0342277,0.009523812
C1969343,C0431693,0.008695655
C1969343,C0002876,0.007407409
C1969343,C1838100,0.0060606077
C1969343,C0020474,0.020000005
C1969343,C1969343,0.010000003
C1969343,C2675512,0.012903228000000001
