disease_1,disease_2,edge_weight
DOID:5453,DOID:2841,0.014285718000000001
DOID:5453,DOID:0050641,0.010000003
DOID:5453,DOID:0110757,0.028571436000000002
DOID:5453,DOID:0060334,0.028571436000000002
DOID:5453,DOID:6132,0.011111113999999998
DOID:5453,DOID:14221,0.033333343
DOID:5453,DOID:0111106,0.0068965536
DOID:5453,DOID:0111107,0.009523812
DOID:5453,DOID:0060639,0.004545456
DOID:5453,DOID:0110920,0.018181823
DOID:5453,DOID:13382,0.018181823
DOID:0111100,DOID:0110916,0.100000024
DOID:0111100,DOID:1837,0.012903228000000001
DOID:0111100,DOID:5453,0.028571436000000002
DOID:0111100,DOID:0111100,0.00769231
DOID:0111100,DOID:0111099,0.057142872000000004
DOID:0111100,DOID:6713,0.020000005
DOID:0111100,DOID:0111101,0.028571436000000002
DOID:0111100,DOID:1171,0.010526318
DOID:0111100,DOID:1338,0.08000002
DOID:0111100,DOID:0111102,0.0018867929999999999
DOID:0111100,DOID:0090016,0.100000024
DOID:0111100,DOID:14557,0.066666685
DOID:0111100,DOID:0090105,0.025000006
DOID:0111100,DOID:0111105,0.016666671
DOID:0111100,DOID:2841,0.011111113999999998
DOID:0111100,DOID:4769,0.04000001
DOID:0111100,DOID:0060474,0.08000002
DOID:0111100,DOID:8997,0.012500003
DOID:0111100,DOID:6132,0.100000024
DOID:0111100,DOID:0111091,0.007407409
DOID:0111100,DOID:0060652,0.010526318
DOID:0111100,DOID:0111077,0.004761906
DOID:0111100,DOID:13381,0.010000003
DOID:0111100,DOID:0111094,0.022222227999999997
DOID:0111099,DOID:9351,0.012903228000000001
DOID:0111099,DOID:0110741,0.028571436000000002
DOID:0111099,DOID:5453,0.00769231
DOID:0111099,DOID:0111100,0.057142872000000004
DOID:0111099,DOID:0111099,0.020000005
DOID:0111099,DOID:6713,0.028571436000000002
DOID:0111099,DOID:0110918,0.010526318
DOID:0111099,DOID:1171,0.08000002
DOID:0111099,DOID:1338,0.0018867929999999999
DOID:0111099,DOID:13809,0.100000024
DOID:0111099,DOID:0090016,0.066666685
DOID:0111099,DOID:1339,0.025000006
DOID:0111099,DOID:0111104,0.016666671
DOID:0111099,DOID:0111105,0.011111113999999998
DOID:0111099,DOID:0050641,0.04000001
DOID:0111099,DOID:0110757,0.08000002
DOID:0111099,DOID:0060334,0.012500003
DOID:0111099,DOID:8997,0.100000024
DOID:0111099,DOID:14221,0.007407409
DOID:0111099,DOID:0060638,0.010526318
DOID:0111099,DOID:0111107,0.004761906
DOID:0111099,DOID:13099,0.010000003
DOID:0111099,DOID:0110920,0.022222227999999997
DOID:6713,DOID:0090105,0.014285718000000001
DOID:6713,DOID:13381,0.025000006
DOID:0111101,DOID:9351,0.0058823545
DOID:0111101,DOID:1837,0.0037735859999999998
DOID:0111101,DOID:0110741,0.011764709
