disease1,disease2
C0272052,C1833382
C0272052,C2675512
C0272052,C1838457
C0272052,C1853371
C0272052,C1853297
C0272052,C0004096
C0272052,C1266144
C0272052,C2675866
C0272052,C1864623
C0272052,C0032463
C1266144,C0011880
C1266144,C1852092
C1266144,C0342277
C1266144,C0007785
C1266144,C2678338
C1266144,C0020481
C1266144,C1838100
C1266144,C0740302
C1266144,C1833382
C1266144,C1838457
C1266144,C0004096
C1266144,C0272052
C1266144,C1266144
C1266144,C2675866
C1837915,C0011880
C1837915,C0034091
C1837915,C1852093
C1837915,C0007785
C1837915,C2678338
C1837915,C2675212
C1837915,C0020474
C1837915,C0740302
C1837915,C1833382
C1837915,C2675512
C1837915,C1863512
C1837915,C1838457
C1837915,C1853297
C1837915,C0004096
C1837915,C0272052
C1837915,C1266144
C1837915,C2675866
C1864623,C2674218
C1864623,C0011880
C1864623,C0034091
C1864623,C0342277
C1864623,C1852093
C1864623,C0007785
C1864623,C0431693
C1864623,C2678338
C1864623,C1838100
C1864623,C0020474
C1864623,C1838457
C1864623,C1853371
C1864623,C0004096
C1864623,C1266144
C0032463,C0011880
C0032463,C1852092
C0032463,C0034091
C0032463,C0342277
C0032463,C1852093
C0032463,C0007785
C0032463,C0431693
C0032463,C0002876
C0032463,C1838100
C0032463,C2675212
C0032463,C1833382
C0032463,C2675512
C0032463,C1838457
C0032463,C1853297
C2930930,C0011880
C2930930,C1852092
C2930930,C0034091
C2930930,C1852093
C2930930,C2678338
C2930930,C0002876
C2930930,C2675512
C2930930,C1838457
C1836861,C0011880
C1836861,C0034091
C1836861,C0431693
C1836861,C2678338
C1836861,C0020481
C1836861,C1838100
C1836861,C2675212
C1836861,C0020474
C1836861,C0740302
C1836861,C1833382
C1836861,C2675512
C1836861,C1838457
C1836861,C1853371
C1864839,C0011880
C1864839,C0011880
C1864839,C0034091
C1864839,C0007785
C1864839,C2678338
C1864839,C1969343
C1864839,C2675512
C1857775,C2674218
C1857775,C0011880
C1857775,C1852092
C1857775,C1852093
C1857775,C0007785
C1857775,C0431693
C1857775,C0020481
C1857775,C0002876
C1857775,C1838100
C1857775,C2675212
C1857775,C0740302
C1857775,C1969343
C1857775,C2675512
C1857775,C1863512
C0152264,C2674218
C0152264,C0011880
C0152264,C0011880
C0152264,C0034091
C0152264,C0342277
C0152264,C1852093
C0152264,C0007785
C0152264,C0020474
C0152264,C1969343
C2677132,C0011880
C2677132,C0034091
C2677132,C1852093
C2677132,C2675212
C2677132,C0740302
C0340968,C2674218
C0340968,C1852092
C0340968,C0034091
C0340968,C0342277
C0340968,C0007785
C0340968,C0431693
C0340968,C2678338
C0340968,C0020481
C0340968,C1838100
C0340968,C2675212
C0340968,C0740302
C0340968,C1969343
C1833104,C0011880
C1833104,C0034091
C1833104,C0431693
C1833104,C2678338
C1833104,C0020481
C1833104,C0002876
C1833104,C2675212
C1833104,C0740302
C0221018,C1852092
C0221018,C0342277
C0221018,C0007785
C0221018,C2678338
C0221018,C2675212
C1843687,C2674218
C1843687,C0011880
C1843687,C1852092
C1843687,C0034091
C1843687,C0342277
C1843687,C1852093
C1843687,C0007785
C1843687,C0431693
C1843687,C2678338
C1843687,C0020481
C1843687,C0002876
C1843687,C1838100
C1720779,C2674218
C1720779,C0011880
C1720779,C1852092
C1720779,C0034091
C1720779,C0342277
C1720779,C0007785
C1720779,C0431693
C1720779,C0020481
C1720779,C0002876
C2931384,C0011880
C2931384,C0011880
C2931384,C1852092
C2931384,C0034091
C2931384,C0342277
C2931384,C1852093
C2931384,C0007785
C2931384,C0431693
C2931384,C2678338
C2931384,C0020481
C1306856,C0011880
C2675192,C2674218
C2675192,C0011880
C2675192,C0011880
C2675192,C0034091
C2675192,C0342277
C2675192,C0007785
C2675192,C0431693
C1835817,C2674218
C1835817,C0011880
C1835817,C1852092
C1835817,C0034091
C1835817,C1852093
C1835817,C0007785
C1306856,C2674218
C1306856,C0011880
C1306856,C1852092
C1306856,C0342277
C1306856,C1852093
C1856797,C0011880
C1856797,C0011880
C1856797,C0034091
C1856797,C0342277
C1845028,C0011880
C1845028,C1852092
C0031190,C2674218
C0031190,C0011880
C0031190,C0011880
C0031190,C1852092
C0014761,C0011880
C0014761,C0011880
C0162316,C2674218
